﻿,1
арво,80
метс,37
в,683
осенних,10
лесах,9
стихотворения,26
судьба,17
русского,19
поэта,35
это,80
замечательно,1
когда,45
мы,55
можем,3
говорить,5
не,227
о,92
пресловутых,1
жизни,29
и,506
творчестве,3
а,92
о,92
судьбе,3
есть,19
люди,12
жизни,29
есть,19
люди,12
судьбы,4
второе,2
редкость,2
хотя,11
бы,48
потому,11
что,134
судьба,17
ведет,2
тех,4
в,683
ком,3
подлинность,1
–,6
и,506
от,64
судеб,1
защиты,1
нет,18
слово,9
судьба,17
происходит,5
от,64
выражения,2
суд,1
божий,2
этим,4
все,89
сказано,2
судьба,17
–,6
это,80
предопределение,1
и,506
удивление,1
как,135
меня,27
парня,6
из,80
эстонской,8
глуши,5
настигла,7
судьба,17
русского,19
поэта,35
несколько,11
молодых,1
людей,13
вместе,9
с,159
которыми,2
я,157
проходил,1
эти,21
вступительные,1
испытания,1
вели,1
себя,18
свободно,1
весело,2
просто,2
посвойски,1
они,31
были,13
выпускниками,1
института,6
начинающими,1
поэтами,4
прозаиками,1
переводчиками,1
критиками,1
я,157
бы,48
сказал,5
литинститутовцами,1
по,73
происхождению,1
они,31
прошли,4
учебный,1
и,506
творческий,2
курс,2
института,6
курс,2
коридоров,1
застолий,1
бесед,1
споров,1
всей,2
той,8
особенной,1
жизни,29
которая,12
невидимо,1
клубится,1
в,683
пределах,1
бывшей,1
городской,3
усадьбы,1
с,159
адресом,1
тверской,1
бульвар,1
25,1
я,157
завидовал,1
этим,4
людям,5
смотрел,2
на,244
всех,8
снизу,1
вверх,5
один,13
из,80
них,17
несуетный,1
молодой,2
человек,17
растерянноделикатный,1
исполненный,1
печальной,1
скромности,1
привлекал,1
меня,27
в,683
его,69
походке,1
повадках,1
лице,2
угадывалась,1
нечто,1
скандинавскоприбалтийское,1
а,92
в,683
мягкой,2
неторопливости,1
отдельности,1
живущий,1
возле,5
моря,1
хозяин,1
хутора,1
мызы,1
пастор,1
сельской,1
кирхи,1
это,80
был,18
арво,80
метс,37
маленькая,8
за,67
буреломами,3
за,67
разливами,3
рек,3
вотвот,4
отколется,2
и,506
уплывет,3
вдаль,5
от,64
нагорной,3
проповеди,3
к,117
нагорному,3
карабаху,3
а,92
так,51
узреть,1
кошмар,1
и,506
кровавое,1
наваждение,1
9193х,1
годов,2
их,28
фальшь,1
и,506
жестокость,1
все,89
густеет,3
и,506
превращается,4
в,683
свинец,3
сфинкс,2
многомиллионноголовый,2
какие,13
еще,32
тяжести,3
выдюжишь,2
ты,30
на,244
своих,6
плечах,2
от,64
какой,6
соломинки,2
лопнет,2
твое,2
терпение,2
и,506
опять,6
будут,4
реки,3
крови,6
не,227
смотря,1
ни,12
на,244
что,134
он,61
умудрился,1
остаться,2
поэтом,4
его,69
стихи,36
сохранив,1
ошеломляющую,1
наивность,1
обрели,1
твердую,1
содержательную,1
многоликость,1
вот,19
лишь,9
две,12
так,51
сказать,6
